content_type,length_category,count,avg_perf,total_uses,total_earnings
anal,short,11,46.1,4,219.98
blowjob,very_short,5,0.0,5,0.0
blowjob,short,92,8.96,111,1627.03
blowjob_dildo,short,1,50.0,0,0.0
boy_girl,emoji_only,1,50.0,0,0.0
boy_girl,very_short,12,6.21,11,58.76
boy_girl,short,576,6.38,660,6714.42
boy_girl_girl,short,1,39.56,1,40.0
bundle_offer,short,80,19.36,86,4205.76
creampie,short,20,16.11,20,177.83
deepthroat,very_short,1,50.0,0,0.0
deepthroat,short,3,35.53,3,225.0
deepthroat_dildo,short,3,66.67,1,240.0
dick_rating,very_short,1,0.0,1,0.0
dick_rating,short,33,3.03,31,0.0
dom_sub,very_short,4,0.0,4,0.0
dom_sub,short,121,11.05,103,148.0
exclusive_content,very_short,2,50.0,0,0.0
exclusive_content,short,61,23.01,40,248.0
feet,short,18,30.92,15,590.84
flash_sale,very_short,3,16.67,2,0.0
flash_sale,short,253,2.08,289,143.0
gfe,very_short,37,2.7,57,0.0
gfe,short,237,0.53,249,25.0
girl_girl,very_short,1,0.0,1,0.0
girl_girl,short,13,22.39,16,1527.62
girl_girl_girl,short,2,50.0,0,0.0
implied_pussy_play,very_short,4,0.0,5,0.0
implied_pussy_play,short,246,1.42,276,0.0
implied_solo,very_short,1,0.0,1,0.0
implied_solo,short,194,2.73,203,30.0
implied_tits_play,very_short,3,16.67,2,0.0
implied_tits_play,short,38,5.26,35,0.0
implied_toy_play,very_short,1,50.0,0,0.0
implied_toy_play,short,4,50.0,0,0.0
joi,very_short,3,33.33,1,0.0
joi,short,123,5.16,139,352.88
lingerie,very_short,1,50.0,0,0.0
lingerie,short,54,17.9,57,895.0
live_stream,short,7,19.0,6,210.0
pool_outdoor,very_short,3,33.33,1,0.0
pool_outdoor,short,72,6.39,68,187.0
pov,very_short,1,0.0,1,0.0
pov,short,13,38.57,17,1681.44
pussy_play,very_short,5,20.0,3,0.0
pussy_play,short,284,4.51,337,2032.31
renewal_retention,short,43,0.0,47,0.0
shower_bath,very_short,1,0.0,1,0.0
shower_bath,short,95,13.47,94,1411.13
solo,very_short,20,10.0,17,0.0
solo,short,568,3.13,662,2498.07
squirt,very_short,1,50.0,0,0.0
squirt,short,22,8.86,26,898.91
story_roleplay,short,208,0.83,230,30.0
teasing,emoji_only,28,46.02,114,4726.44
teasing,very_short,845,8.7,861,0.0
teasing,short,14365,3.67,15894,71582.29
tip_request,very_short,11,0.13,13,0.0
tip_request,short,149,9.26,156,1820.5
tits_play,very_short,14,10.71,11,0.0
tits_play,short,269,3.81,303,2119.82
toy_play,short,16,27.87,17,734.93
